id;nome;secao;preco;preco_de;disponivel;descricao;foto;link;marca;material
auto-anel-dourado-com-pedra-preta;Anel Dourado com Pedra Preta;Anéis;138,90;172,90;sim;Anel Dourado com Pedra Preta com acabamento em ouro 18k. Peça selecionada à mão pela JS Joias Delicadas: antialérgica, resistente ao dia a dia e pronta para virar sua favorita.;https://jubssaez-art.github.io/js-joias-delicadas/imagens/anel%20dourado%20com%20pedra%20preta.png;https://jubssaez-art.github.io/js-joias-delicadas/produto.html?id=auto-anel-dourado-com-pedra-preta;JS Joias Delicadas;Ouro 18k
auto-anel-dourado-coracao-cravejado;Anel Dourado Coração Cravejado;Anéis;145,90;180,90;sim;Anel Dourado Coração Cravejado com acabamento em ouro 18k. Peça selecionada à mão pela JS Joias Delicadas: antialérgica, resistente ao dia a dia e pronta para virar sua favorita.;https://jubssaez-art.github.io/js-joias-delicadas/imagens/anel%20dourado%20cora%C3%A7%C3%A3o%20cravejado.png;https://jubssaez-art.github.io/js-joias-delicadas/produto.html?id=auto-anel-dourado-coracao-cravejado;JS Joias Delicadas;Ouro 18k
auto-anel-dourado-coracao-de-pedras-azuis;Anel Dourado Coração de Pedras Azuis;Anéis;141,90;175,90;sim;Anel Dourado Coração de Pedras Azuis com acabamento em ouro 18k. Peça selecionada à mão pela JS Joias Delicadas: antialérgica, resistente ao dia a dia e pronta para virar sua favorita.;https://jubssaez-art.github.io/js-joias-delicadas/imagens/anel%20dourado%20cora%C3%A7%C3%A3o%20de%20pedras%20azuis.png;https://jubssaez-art.github.io/js-joias-delicadas/produto.html?id=auto-anel-dourado-coracao-de-pedras-azuis;JS Joias Delicadas;Ouro 18k
auto-anel-dourado-cruz-cravejada;Anel Dourado Cruz Cravejada;Anéis;151,90;188,90;sim;Anel Dourado Cruz Cravejada com acabamento em ouro 18k. Peça selecionada à mão pela JS Joias Delicadas: antialérgica, resistente ao dia a dia e pronta para virar sua favorita.;https://jubssaez-art.github.io/js-joias-delicadas/imagens/anel%20dourado%20cruz%20cravejada.png;https://jubssaez-art.github.io/js-joias-delicadas/produto.html?id=auto-anel-dourado-cruz-cravejada;JS Joias Delicadas;Ouro 18k
auto-anel-dourado-duas-estrelas;Anel Dourado Duas Estrelas;Anéis;125,90;156,90;sim;Anel Dourado Duas Estrelas com acabamento em ouro 18k. Peça selecionada à mão pela JS Joias Delicadas: antialérgica, resistente ao dia a dia e pronta para virar sua favorita.;https://jubssaez-art.github.io/js-joias-delicadas/imagens/anel%20dourado%20duas%20estrelas.png;https://jubssaez-art.github.io/js-joias-delicadas/produto.html?id=auto-anel-dourado-duas-estrelas;JS Joias Delicadas;Ouro 18k
auto-anel-dourado-estrela-do-mar;Anel Dourado Estrela do Mar;Anéis;131,90;163,90;sim;Anel Dourado Estrela do Mar com acabamento em ouro 18k. Peça selecionada à mão pela JS Joias Delicadas: antialérgica, resistente ao dia a dia e pronta para virar sua favorita.;https://jubssaez-art.github.io/js-joias-delicadas/imagens/anel%20dourado%20estrela%20do%20mar.png;https://jubssaez-art.github.io/js-joias-delicadas/produto.html?id=auto-anel-dourado-estrela-do-mar;JS Joias Delicadas;Ouro 18k
auto-anel-dourado-fileira-de-pedras-negras;Anel Dourado Fileira de Pedras Negras;Anéis;138,90;172,90;sim;Anel Dourado Fileira de Pedras Negras com acabamento em ouro 18k. Peça selecionada à mão pela JS Joias Delicadas: antialérgica, resistente ao dia a dia e pronta para virar sua favorita.;https://jubssaez-art.github.io/js-joias-delicadas/imagens/anel%20dourado%20fileira%20de%20pedras%20negras.png;https://jubssaez-art.github.io/js-joias-delicadas/produto.html?id=auto-anel-dourado-fileira-de-pedras-negras;JS Joias Delicadas;Ouro 18k
auto-anel-dourado-flor;Anel Dourado Flor;Anéis;133,90;166,90;sim;Anel Dourado Flor com acabamento em ouro 18k. Peça selecionada à mão pela JS Joias Delicadas: antialérgica, resistente ao dia a dia e pronta para virar sua favorita.;https://jubssaez-art.github.io/js-joias-delicadas/imagens/anel%20dourado%20flor.png;https://jubssaez-art.github.io/js-joias-delicadas/produto.html?id=auto-anel-dourado-flor;JS Joias Delicadas;Ouro 18k
auto-anel-dourado-infinito-com-coracao;Anel Dourado Infinito com Coração;Anéis;137,90;170,90;sim;Anel Dourado Infinito com Coração com acabamento em ouro 18k. Peça selecionada à mão pela JS Joias Delicadas: antialérgica, resistente ao dia a dia e pronta para virar sua favorita.;https://jubssaez-art.github.io/js-joias-delicadas/imagens/anel%20dourado%20infinito%20com%20cora%C3%A7%C3%A3o.png;https://jubssaez-art.github.io/js-joias-delicadas/produto.html?id=auto-anel-dourado-infinito-com-coracao;JS Joias Delicadas;Ouro 18k
auto-anel-dourado-meia-alianca-rosa;Anel Dourado Meia Aliança Rosa;Anéis;117,90;146,90;sim;Anel Dourado Meia Aliança Rosa com acabamento em ouro 18k. Peça selecionada à mão pela JS Joias Delicadas: antialérgica, resistente ao dia a dia e pronta para virar sua favorita.;https://jubssaez-art.github.io/js-joias-delicadas/imagens/anel%20dourado%20meia%20alian%C3%A7a%20rosa.png;https://jubssaez-art.github.io/js-joias-delicadas/produto.html?id=auto-anel-dourado-meia-alianca-rosa;JS Joias Delicadas;Ouro 18k
